season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,game_id,away_team,away_score,home_team,home_score,result
1999,11,CHI,REG,LAC,25,39,357,1,0,1,-2,0,0,0,357,13,16.103690364415165,,0,28,75,1,1,0,5,-6.026879355357041,0,25,39,357,1,1,1,0,0,13,13.678659772808537,0,0,48,11,13,2,10,0,1.0,9.0,1,1,37,3,0,0,0,0,1,2,0,0,0,8,56,2,2,44,6,104,3,4,1,0,36.0,0.75,0,2,1,0,0,0,0,0,1,0,0,0,29;26;36,33,,91,33,0,2,2,0,0,1.0,1,1,0,0,36,,CHI,23,SD,20,-3
1999,12,CHI,REG,DET,25,39,204,2,1,2,-20,0,0,10,204,11,-7.458527978210245,,0,12,52,0,1,0,2,-4.758380774175748,0,25,39,204,2,0,0,10,0,11,-3.980793571265881,0,0,53,0,20,6,22,0,2.0,16.0,2,0,0,7,0,0,0,0,1,2,1,1,0,3,25,5,2,14,4,96,1,1,0,0,27.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,27,,,27,0,0,2,2,0,0,1.0,0,0,0,0,0,,CHI,17,DET,21,4
1999,13,CHI,REG,GB,21,39,226,0,1,3,-20,0,0,11,226,10,-5.7554777196563105,,0,24,91,1,2,1,7,-11.14895175366959,0,21,39,226,0,1,0,11,0,10,-0.6552124800805802,0,0,51,8,8,7,24,2,2.0,16.0,2,2,34,2,1,0,0,0,2,3,1,1,0,4,35,6,0,0,5,144,2,3,1,0,24.0,0.6666666666666666,0,2,0,0,0,0,0,0,0,0,1,0,24;23,51,,47,51,0,1,1,0,0,1.0,0,0,0,0,0,,GB,35,CHI,19,-16
1999,15,CHI,REG,DET,27,36,301,4,2,2,-9,0,0,282,190,17,12.159259520881447,,0,32,104,0,0,0,9,-5.385669183800928,0,27,36,301,4,1,0,282,182,17,16.531472642734286,0,0,40,9,11,4,23,0,3.0,17.0,3,3,34,7,0,0,0,0,2,2,1,1,0,8,62,3,1,19,2,33,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,30,,0,30,0,4,4,0,0,1.0,0,0,0,0,0,,DET,10,CHI,28,18
1999,16,CHI,REG,LA,32,55,391,2,2,4,-26,1,1,0,391,20,-9.337504089416935,,0,17,69,0,1,0,4,-2.4939575771568343,0,32,54,391,2,0,0,0,0,20,-2.5116030424686615,0,0,50,8,8,3,10,2,0.0,0.0,0,1,0,3,0,0,0,0,1,2,1,1,0,10,64,5,1,0,5,122,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,1,1,0,0.0,0,0,0,0,0,,CHI,12,STL,34,22
1999,17,CHI,REG,TB,20,42,196,0,1,2,-10,1,1,7,196,8,-13.065047567884388,,0,18,71,0,1,0,5,0.6438213270860151,0,20,41,196,0,0,0,7,0,8,-12.655909047461531,0,0,47,14,16,4,10,0,1.0,3.0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,10,4,4,39,4,64,2,2,0,0,39.0,1.0,0,0,2,0,0,0,0,0,0,0,0,0,39;31,,,70,0,0,0,0,0,0,,0,0,0,0,0,,TB,20,CHI,6,-14
2000,1,CHI,REG,MIN,27,41,290,2,0,2,-18,0,0,0,290,13,9.417456089745963,,0,25,153,1,0,0,10,9.060478076222353,0,27,39,290,2,2,1,0,0,13,8.932356037916973,0,0,32,6,10,3,6,1,1.0,2.0,1,1,2,4,0,0,0,0,1,1,0,0,0,5,45,6,1,12,7,175,2,2,0,0,49.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,29;49,,,78,0,0,3,3,0,0,1.0,0,0,0,0,0,,CHI,27,MIN,30,3
2000,2,CHI,REG,TB,15,29,96,0,2,5,-47,1,1,5,96,5,-25.257226981817194,,0,22,116,0,0,0,4,0.757468314608559,0,15,28,96,0,1,1,5,0,5,-20.886488078640223,0,0,39,9,19,5,20,0,2.0,15.0,2,0,0,2,0,1,0,0,1,1,0,0,0,9,64,0,3,23,7,166,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,42,,0,42,0,0,0,0,0,,0,0,0,0,0,,CHI,0,TB,41,41
2000,3,CHI,REG,NYG,23,36,202,1,0,3,-22,0,0,0,202,10,-1.9522061724564992,,0,17,48,0,1,1,5,-10.525699505527774,0,23,35,202,1,0,0,0,0,10,3.27237527188845,0,0,59,10,10,3,18,1,2.0,14.0,2,0,0,2,0,0,0,0,0,1,1,1,0,2,30,5,2,20,3,68,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,49,,0,49,0,1,1,0,0,1.0,0,0,0,0,0,,NYG,14,CHI,7,-7
2000,4,CHI,REG,DET,21,35,261,1,3,1,-7,0,0,85,261,7,-4.236108288838295,,0,31,147,1,3,1,13,-0.17374115411075763,0,21,35,261,1,1,1,85,0,7,-6.723919495358132,0,0,41,16,16,3,13,0,3.0,13.0,3,1,0,7,0,1,0,0,3,6,0,0,0,9,78,3,4,30,4,63,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0,,DET,21,CHI,14,-7
